"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"161","94941",60034.7,1.0275,7.3417,5266,4156.5,73995.9,50,"Mill Valley","CA",37.898058,-122.54134
"162","95060",60021.5,2.2109,7.2064,4434.9,4557.1,79929.1,84,"Santa Cruz","CA",36.980556,-122.04603
"163","92620",59929.7,1.4971,44.5365,4843.6,3532.2,75238,32,"Irvine","CA",33.714889,-117.7633
"164","94116",59888.4,1.0235,58.1349,4606.6,3898,80201.4,39,"San Francisco","CA",37.743381,-122.48578
"165","90042",59802.4,2.6301,13.4368,3723.7,4881.6,87543.7,55,"Los Angeles","CA",34.114558,-118.19233
"166","93551",59555.8,11.4415,8.5214,4241.2,4405,80602.9,57,"Palmdale","CA",34.606146,-118.18495
"167","94901",59531.5,1.5966,5.9257,4702.2,4415.4,77686.4,64,"San Rafael","CA",37.972423,-122.51484
"168","92131",59503.9,2.4726,25.7012,5177.7,3485.2,71113.9,27,"San Diego","CA",32.918035,-117.08438
"169","95112",59452.2,4.6474,26.7144,3887.4,4355.7,83341.1,63,"San Jose","CA",37.348541,-121.88627
"170","90024",59421.6,2.3652,28.1636,4581.4,4097,76098.7,46,"Los Angeles","CA",34.063209,-118.43643
"171","92103",59416.4,3.3239,7.101,4237.8,4539.1,80008.3,99,"San Diego","CA",32.746018,-117.16715
"172","91367",59312.6,4.6029,13.6131,4468.2,4386.1,78943.7,40,"Woodland Hills","CA",34.176238,-118.61992
"173","92346",59258.8,11.857,8.7498,3985.7,4689.6,83243.3,71,"Highland","CA",34.12716,-117.20073
"174","95136",59181.9,5.2348,31.1778,4392.1,3924.3,78291.4,43,"San Jose","CA",37.269343,-121.84939
"175","90808",59081,3.6685,9.8271,4545.1,4368.8,77942.4,37,"Long Beach","CA",33.823316,-118.11329
"176","92506",58994.2,6.2326,5.985,4437.2,4511.4,79199.7,63,"Riverside","CA",33.943615,-117.37239
"177","91362",58782.7,1.4005,9.1075,4915.2,4102.3,74133.7,57,"Thousand Oaks","CA",34.190804,-118.83704
"178","91977",58737,13.4456,11.0582,3699.8,4744.7,84692.1,77,"Spring Valley","CA",32.721145,-116.99612
