Name,FIPS,"Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017"
"91766, Pomona, CA",91766,49968.3,5.4212,12.0164,3003.4,4087,74354.3
"93033, Oxnard, CA",93033,49960.2,2.4168,7.9366,2982.9,4251.5,75098.3
"92867, Orange, CA",92867,49951.9,1.2684,11.9077,3874.8,3589.9,65690
"92869, Orange, CA",92869,49887.2,1.1511,14.1669,4010.2,3500.9,64542.7
"92553, Moreno Valley, CA",92553,49675.7,16.4965,6.1168,2659,4229.6,75685.2
"92105, San Diego, CA",92105,49674.5,14.7819,20.1213,2489,4287,78150.2
"95476, Sonoma, CA",95476,49631.8,0.6995,2.5469,3593.3,4273.9,70031.6
"93117, Goleta, CA",93117,49591.2,2.5354,12.9979,3406.3,3687.1,66757.1
"92651, Laguna Beach, CA",92651,49549,0.8515,9.1439,4212.5,3505.2,62210.3
"92821, Brea, CA",92821,49417.6,1.455,19.8975,3654.9,3625.9,66813.9
"95688, Vacaville, CA",95688,49328.7,4.3281,6.0649,3774.5,3609.6,64753.7
"92260, Palm Desert, CA",92260,49317.2,1.6446,3.5643,3346.8,4696.2,73127.2
"95062, Santa Cruz, CA",95062,49255.2,1.6846,4.5537,3377.9,4003.8,68709.9
"95667, Placerville, CA",95667,49177,0.5825,1.4849,3339.7,4410.1,71570.6
